Start Time: 12:55:44
run_preprocessing=True, with: is_hl=True, to_seg=True, seg_len=30, hl_margins=(6, 0) 
run_features=True, with: is_hl=True , specific_blendshapes=True 
linear_regression, LeaveOneSubjOut, pca6, rewatch    , True, True, 0.208, 0.000, 0.040
ridge            , LeaveOneSubjOut, pca6, rewatch    , True, True, 0.217, 0.000, 0.042
linear_regression, LeaveOneSubjOut, pca7, rewatch    , True, True, 0.193, 0.000, 0.031
ridge            , LeaveOneSubjOut, pca7, rewatch    , True, True, 0.200, 0.000, 0.037
linear_regression, LeaveOneSubjOut, pca8, rewatch    , True, True, 0.207, 0.000, 0.037
ridge            , LeaveOneSubjOut, pca8, rewatch    , True, True, 0.214, 0.000, 0.041
linear_regression, LeaveOneSubjOut, pca9, rewatch    , True, True, 0.201, 0.000, 0.032
ridge            , LeaveOneSubjOut, pca9, rewatch    , True, True, 0.215, 0.000, 0.042
linear_regression, LeaveOneSubjOut, pca10, rewatch    , True, True, 0.184, 0.000, 0.022
ridge            , LeaveOneSubjOut, pca10, rewatch    , True, True, 0.201, 0.000, 0.038
linear_regression, LeaveOneSubjOut, pca11, rewatch    , True, True, 0.200, 0.000, 0.028
ridge            , LeaveOneSubjOut, pca11, rewatch    , True, True, 0.211, 0.000, 0.042
Start Time: 13:21:01
